scene_index,scene_id,family,input,provenance,sha256,oracle,audit_status
81,v2_r_training_00081,sersic,noise_sigma,declared_noise_convention,57d0e1f236d6ba1a851697b16f9dad260eb60d064ee05bfe879271ab57093d79,False,PASS
81,v2_r_training_00081,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
81,v2_r_training_00081,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
81,v2_r_training_00081,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8cfd730a059c574088ff7cc6d3be618e313b60d0058b8b478aa6a2b172aa407c,False,PASS
81,v2_r_training_00081,bulge_disk,observed,frozen_blended_observation,6464dcedf961c1506e20b80bc4cc9f3631b8f56ca69029002932783a8c50b9d6,False,PASS
81,v2_r_training_00081,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,cdc9e2a31ac5bad11cdfa3da552d833b832fa17398f5e5671d909e031b28190a,False,PASS
81,v2_r_training_00081,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,f0fffd30a53995c947e42a8fe4e84f87572d808fd7d58591cc6040215beb97a6,False,PASS
81,v2_r_training_00081,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
81,v2_r_training_00081,bulge_disk,noise_sigma,declared_noise_convention,57d0e1f236d6ba1a851697b16f9dad260eb60d064ee05bfe879271ab57093d79,False,PASS
81,v2_r_training_00081,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
81,v2_r_training_00081,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
81,v2_r_training_00081,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8cfd730a059c574088ff7cc6d3be618e313b60d0058b8b478aa6a2b172aa407c,False,PASS
